ID,temp,atemp,humidity,windspeed,count
AB101,9.84,14.395,81,0,16
AB102,9.02,13.635,80,0,40
AB103,9.02,13.635,80,0,32
AB104,9.84,14.395,75,0,13
AB105,9.84,14.395,75,0,1
AB106,9.84,12.88,75,6.0032,1
AB107,9.02,13.635,80,0,2
AB108,8.2,12.88,86,0,3
AB109,9.84,14.395,75,0,8
AB110,13.12,17.425,76,0,14
AB111,15.58,19.695,76,16.9979,36
AB112,14.76,16.665,81,19.0012,56
AB113,17.22,21.21,77,19.0012,84
AB114,18.86,22.725,72,19.9995,94
AB115,18.86,22.725,72,19.0012,106
AB116,18.04,21.97,77,19.9995,110
AB117,17.22,21.21,82,19.9995,93
AB118,18.04,21.97,82,19.0012,67
AB119,17.22,21.21,88,16.9979,35
AB120,17.22,21.21,88,16.9979,37
AB121,16.4,20.455,87,16.9979,36
AB122,16.4,20.455,87,12.998,34
AB123,16.4,20.455,94,15.0013,28
AB124,18.86,22.725,88,19.9995,39
AB125,18.86,22.725,88,19.9995,17
AB126,18.04,21.97,94,16.9979,17
AB127,17.22,21.21,100,19.0012,9
AB128,18.86,22.725,94,12.998,6
AB129,18.86,22.725,94,12.998,3
AB130,17.22,21.21,77,19.9995,2
AB131,16.4,20.455,76,12.998,1
AB132,16.4,20.455,71,15.0013,8
AB133,15.58,19.695,76,15.0013,20
AB134,14.76,17.425,81,15.0013,53
AB135,14.76,16.665,71,16.9979,70
AB136,14.76,16.665,66,19.9995,93
AB137,14.76,17.425,66,8.9981,75
AB138,14.76,17.425,76,12.998,59
AB139,13.94,16.665,81,11.0014,74
AB140,13.94,16.665,71,11.0014,76
AB141,13.94,16.665,57,12.998,65
AB142,14.76,16.665,46,22.0028,53
AB143,13.12,14.395,42,30.0026,30
AB144,12.3,13.635,39,23.9994,22
AB145,10.66,11.365,44,22.0028,31
AB146,9.84,10.605,44,19.9995,9
AB147,9.02,11.365,47,11.0014,8
AB148,9.02,9.85,44,23.9994,5
AB149,8.2,8.335,44,27.9993,2
AB150,6.56,6.82,47,26.0027,1
AB151,6.56,6.82,47,19.0012,3
AB152,5.74,5.305,50,26.0027,30
AB153,5.74,6.82,50,12.998,64
AB154,5.74,6.06,50,19.0012,154
AB155,6.56,6.82,43,26.0027,88
AB156,7.38,8.335,43,16.9979,44
AB157,8.2,9.09,40,22.0028,51
AB158,9.02,10.605,35,19.9995,61
AB159,9.84,10.605,35,19.0012,61
AB160,10.66,12.12,30,19.0012,77
AB161,10.66,12.12,30,16.9979,72
AB162,10.66,12.12,30,16.9979,76
AB163,9.84,11.365,30,15.0013,157
AB164,9.84,12.88,32,7.0015,157
AB165,8.2,12.88,47,0,110
AB166,8.2,11.365,47,7.0015,52
AB167,7.38,9.85,64,8.9981,52
AB168,5.74,7.575,69,8.9981,20
AB169,7.38,10.605,55,7.0015,12
AB170,6.56,9.09,55,7.0015,5
AB171,6.56,9.09,59,7.0015,2
AB172,5.74,7.575,63,8.9981,1
AB173,5.74,9.09,63,6.0032,2
AB174,4.92,7.575,68,7.0015,4
AB175,4.92,7.575,74,7.0015,36
AB176,4.92,7.575,74,8.9981,94
AB177,5.74,7.575,69,11.0014,179
AB178,6.56,7.575,64,15.0013,100
AB179,6.56,6.82,69,22.0028,42
AB180,9.02,10.605,51,19.9995,57
AB181,9.02,11.365,51,11.0014,78
AB182,9.84,11.365,56,12.998,97
AB183,10.66,12.88,52,15.0013,63
AB184,11.48,13.635,52,16.9979,65
AB185,12.3,14.395,49,16.9979,83
AB186,11.48,13.635,48,15.0013,212
AB187,10.66,12.88,48,12.998,182
AB188,9.84,12.88,48,7.0015,112
AB189,9.84,12.88,48,7.0015,54
AB190,9.02,13.635,64,0,48
AB191,9.02,12.88,64,6.0032,35
AB192,8.2,11.365,69,6.0032,11
AB193,8.2,12.88,64,0,6
AB194,6.56,9.85,74,6.0032,6
AB195,6.56,9.85,74,6.0032,2
AB196,9.84,11.365,48,15.0013,2
AB197,9.02,11.365,47,11.0014,3
AB198,8.2,9.85,47,15.0013,33
AB199,7.38,9.09,43,12.998,88
AB200,8.2,9.09,40,19.9995,195
AB201,9.02,9.85,37,22.0028,115
AB202,9.02,9.85,37,22.0028,57
AB203,10.66,11.365,33,22.0028,46
AB204,10.66,11.365,33,22.0028,79
AB205,11.48,12.88,30,19.9995,71
AB206,12.3,14.395,28,12.998,62
AB207,12.3,14.395,28,12.998,62
AB208,12.3,15.91,28,6.0032,89
AB209,9.84,11.365,38,12.998,190
AB210,9.84,12.12,38,8.9981,169
AB211,9.84,12.88,38,7.0015,132
AB212,9.02,11.365,47,11.0014,89
AB213,8.2,9.85,51,12.998,43
AB214,7.38,9.85,55,8.9981,42
AB215,8.2,12.88,47,0,19
AB216,7.38,12.12,55,0,11
AB217,6.56,11.365,64,0,4
AB218,6.56,11.365,64,0,2
AB219,6.56,9.85,64,6.0032,1
AB220,5.74,9.09,69,6.0032,4
AB221,5.74,8.335,63,7.0015,36
AB222,6.56,11.365,59,0,95
AB223,6.56,11.365,59,0,219
AB224,7.38,12.12,51,0,122
AB225,8.2,12.88,47,0,45
AB226,9.02,12.88,44,6.0032,59
AB227,10.66,14.395,35,0,84
AB228,10.66,13.635,35,7.0015,67
AB229,11.48,13.635,36,11.0014,70
AB230,11.48,13.635,36,0,62
AB231,10.66,12.88,38,11.0014,86
AB232,9.02,11.365,51,11.0014,172
AB233,9.02,11.365,51,8.9981,163
AB234,9.02,12.88,55,6.0032,112
AB235,8.2,10.605,51,11.0014,69
AB236,9.02,10.605,55,15.0013,48
AB237,9.02,10.605,51,19.0012,52
AB238,8.2,9.85,59,12.998,23
AB239,8.2,9.85,64,12.998,17
AB240,8.2,9.85,69,15.0013,7
AB241,8.2,9.85,69,15.0013,1
AB242,8.2,10.605,69,8.9981,1
AB243,9.02,13.635,55,0,5
AB244,8.2,12.88,69,0,34
AB245,8.2,10.605,69,8.9981,84
AB246,8.2,9.85,51,16.9979,210
AB247,8.2,9.09,47,19.9995,134
AB248,9.02,9.85,37,22.0028,63
AB249,8.2,9.85,40,15.0013,67
AB250,8.2,9.85,37,16.9979,59
AB251,8.2,9.09,37,19.0012,73
AB252,8.2,9.85,40,16.9979,50
AB253,8.2,10.605,37,11.0014,72
AB254,8.2,10.605,37,11.0014,87
AB255,8.2,12.88,37,0,187
AB256,8.2,11.365,40,6.0032,123
AB257,6.56,9.85,55,6.0032,95
AB258,7.38,10.605,47,7.0015,51
AB259,7.38,9.85,47,8.9981,39
AB260,7.38,9.85,43,11.0014,36
AB261,7.38,9.85,51,11.0014,15
AB262,7.38,9.85,51,11.0014,25
AB263,7.38,10.605,55,6.0032,16
AB264,7.38,12.12,55,0,16
AB265,7.38,9.85,55,11.0014,7
AB266,7.38,9.85,55,11.0014,1
AB267,6.56,8.335,74,11.0014,5
AB268,6.56,8.335,74,11.0014,2
AB269,6.56,9.09,74,7.0015,9
AB270,6.56,9.09,93,7.0015,15
AB271,6.56,9.09,93,7.0015,20
AB272,7.38,9.85,80,11.0014,61
AB273,8.2,9.09,69,26.0027,62
AB274,8.2,9.09,59,23.9994,98
AB275,8.2,9.09,44,22.0028,102
AB276,8.2,8.335,32,32.9975,95
AB277,8.2,8.335,32,30.0026,74
AB278,7.38,6.82,29,30.0026,76
AB279,6.56,6.06,37,36.9974,69
AB280,5.74,6.06,39,19.9995,55
AB281,5.74,6.06,36,16.9979,30
AB282,4.92,6.06,36,16.9979,28
AB283,4.92,5.305,39,23.9994,37
AB284,4.92,5.305,36,26.0027,34
AB285,4.1,3.03,39,30.0026,22
AB286,4.1,3.79,42,26.0027,25
AB287,4.1,3.03,42,31.0009,12
AB288,4.1,3.03,46,31.0009,11
AB289,4.1,3.79,46,27.9993,4
AB290,3.28,4.545,53,12.998,1
AB291,3.28,4.545,53,12.998,1
AB292,4.1,4.545,49,19.0012,1
AB293,3.28,4.545,53,12.998,6
AB294,4.1,4.545,49,19.0012,10
AB295,4.92,3.79,46,35.0008,19
AB296,5.74,5.305,43,26.0027,49
AB297,6.56,6.06,40,35.0008,49
AB298,7.38,6.82,37,30.0026,83
AB299,8.2,8.335,34,30.0026,75
AB300,9.02,9.09,32,31.0009,72
AB301,9.02,9.85,35,23.9994,82
AB302,8.2,8.335,34,30.0026,92
AB303,7.38,7.575,37,26.0027,62
AB304,6.56,6.82,40,22.0028,48
AB305,6.56,6.82,43,22.0028,41
AB306,5.74,6.06,46,16.9979,38
AB307,5.74,5.305,46,27.9993,20
AB308,5.74,6.06,46,19.9995,15
AB309,4.92,6.82,50,12.998,6
AB310,4.92,6.06,50,19.0012,5
AB311,4.92,6.06,50,19.0012,1
AB312,4.92,6.06,50,15.0013,3
AB313,4.92,6.06,50,15.0013,1
AB314,4.1,6.06,54,8.9981,3
AB315,4.1,5.305,54,16.9979,3
AB316,4.92,6.06,50,19.0012,31
AB317,4.92,6.06,50,15.0013,77
AB318,4.92,6.06,50,19.0012,188
AB319,5.74,6.06,50,16.9979,94
AB320,5.74,6.06,50,19.9995,31
AB321,6.56,6.82,47,19.0012,30
AB322,8.2,9.09,40,19.0012,52
AB323,8.2,9.09,40,19.0012,54
AB324,8.2,9.85,40,15.0013,47
AB325,8.2,9.85,40,15.0013,45
AB326,8.2,10.605,40,8.9981,74
AB327,8.2,11.365,40,7.0015,178
AB328,8.2,9.85,40,15.0013,155
AB329,6.56,8.335,47,11.0014,95
AB330,6.56,8.335,50,11.0014,74
AB331,5.74,6.82,59,12.998,38
AB332,5.74,7.575,59,11.0014,24
AB333,5.74,7.575,59,11.0014,18
AB334,5.74,8.335,59,7.0015,12
AB335,5.74,7.575,59,11.0014,3
AB336,6.56,7.575,55,12.998,3
AB337,6.56,9.09,55,8.9981,6
AB338,6.56,9.09,55,8.9981,27
AB339,6.56,11.365,55,0,99
AB340,7.38,10.605,51,6.0032,217
AB341,7.38,9.85,51,11.0014,130
AB342,8.2,10.605,51,11.0014,54
AB343,8.2,10.605,47,8.9981,35
AB344,8.2,11.365,51,7.0015,57
AB345,8.2,11.365,59,6.0032,52
AB346,8.2,11.365,59,6.0032,63
AB347,6.56,9.85,80,6.0032,47
AB348,6.56,7.575,86,15.0013,76
AB349,6.56,7.575,86,15.0013,136
AB350,6.56,9.09,93,7.0015,95
AB351,6.56,11.365,93,0,51
AB352,6.56,7.575,93,12.998,32
AB353,6.56,9.85,86,6.0032,20
AB354,6.56,9.09,93,7.0015,29
AB355,6.56,9.85,93,6.0032,19
AB356,6.56,9.85,86,6.0032,7
AB357,6.56,9.09,86,7.0015,6
AB358,5.74,7.575,86,8.9981,1
AB359,5.74,7.575,86,11.0014,5
AB360,4.92,7.575,93,8.9981,16
AB361,5.74,7.575,69,8.9981,54
AB362,6.56,8.335,59,11.0014,128
AB363,6.56,6.82,59,22.0028,81
AB364,7.38,9.09,55,15.0013,39
AB365,8.2,9.09,51,26.0027,35
AB366,8.2,7.575,47,39.0007,55
AB367,9.02,9.85,44,23.9994,49
AB368,8.2,9.09,47,22.0028,44
AB369,8.2,8.335,47,27.9993,49
