ID,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
AB101,1,0,0,1,9.84,14.395,81,,16
AB102,1,,0,,9.02,13.635,80,,40
AB103,1,0,,1,9.02,13.635,80,,32
AB104,,0,,1,9.84,14.395,75,,13
AB105,1,,0,,9.84,14.395,,16.9979,1
AB106,1,0,,2,9.84,12.88,75,,1
AB107,1,0,0,1,9.02,13.635,80,,2
AB108,1,,0,1,8.2,12.88,86,,3
AB109,,0,0,,9.84,14.395,,,8
AB110,1,0,0,1,13.12,17.425,76,,14
AB111,1,,0,1,15.58,19.695,76,,36
AB112,1,0,0,,14.76,16.665,81,19.0012,56
AB113,1,0,0,1,17.22,21.21,77,19.0012,84
AB114,,0,,2,18.86,22.725,,19.9995,94
AB115,1,,,2,18.86,22.725,72,19.0012,106
AB116,1,0,,2,18.04,21.97,77,19.9995,110
AB117,1,0,,2,17.22,21.21,82,19.9995,93
AB118,1,0,,2,18.04,21.97,82,19.0012,67
AB119,,,,3,17.22,21.21,,16.9979,35
AB120,1,0,0,3,17.22,21.21,88,16.9979,37
AB121,1,0,0,2,16.4,20.455,87,16.9979,36
AB122,1,0,0,2,16.4,20.455,,12.998,34
AB123,1,0,0,2,16.4,20.455,94,15.0013,28
AB124,,,0,2,18.86,22.725,88,19.9995,39
AB125,1,0,0,2,18.86,22.725,88,19.9995,17
AB126,1,0,0,2,18.04,21.97,94,16.9979,17
AB127,1,0,0,2,17.22,21.21,100,19.0012,9
AB128,,0,0,2,18.86,22.725,94,12.998,6
AB129,1,,0,2,18.86,22.725,94,12.998,3
AB130,1,0,0,3,17.22,21.21,77,19.9995,2
AB131,1,0,0,2,16.4,20.455,76,12.998,1
AB132,,0,0,3,16.4,20.455,71,15.0013,8
AB133,1,0,0,2,15.58,19.695,76,15.0013,20
AB134,1,0,0,2,14.76,17.425,81,15.0013,53
AB135,1,,0,2,14.76,16.665,71,16.9979,70
AB136,,0,0,2,14.76,16.665,66,19.9995,93
AB137,1,0,0,2,14.76,17.425,66,,75
AB138,1,0,0,3,14.76,17.425,76,12.998,59
AB139,1,0,0,3,13.94,16.665,81,,74
AB140,1,,0,3,13.94,16.665,71,,76
AB141,1,0,0,1,13.94,16.665,57,12.998,65
AB142,,0,0,2,14.76,16.665,46,22.0028,53
AB143,1,0,0,1,13.12,14.395,42,30.0026,30
AB144,1,0,0,1,12.3,13.635,39,23.9994,22
AB145,1,0,0,1,10.66,11.365,44,22.0028,31
AB146,1,0,0,1,9.84,10.605,44,19.9995,9
AB147,1,0,0,1,9.02,11.365,47,,8
AB148,1,0,1,1,9.02,9.85,44,23.9994,5
AB149,1,0,1,1,8.2,8.335,44,,2
AB150,1,0,1,1,6.56,6.82,47,26.0027,1
AB151,1,0,1,1,6.56,6.82,47,19.0012,3
AB152,1,0,1,1,5.74,5.305,50,26.0027,30
AB153,1,,1,1,5.74,6.82,50,12.998,64
AB154,1,0,1,1,5.74,6.06,50,19.0012,154
AB155,1,0,1,1,6.56,6.82,43,26.0027,88
AB156,1,0,1,1,7.38,8.335,43,16.9979,44
AB157,1,0,1,1,8.2,9.09,40,22.0028,51
AB158,1,0,1,1,9.02,10.605,35,19.9995,61
AB159,1,0,1,1,9.84,10.605,35,19.0012,61
AB160,1,0,1,1,10.66,12.12,30,19.0012,77
AB161,1,,1,1,10.66,12.12,30,16.9979,72
AB162,1,,1,1,10.66,12.12,30,16.9979,76
AB163,1,,1,1,9.84,11.365,30,15.0013,157
AB164,1,0,1,1,9.84,12.88,32,7.0015,157
AB165,1,0,1,1,8.2,12.88,47,,110
AB166,1,0,1,1,8.2,11.365,47,7.0015,52
AB167,1,0,1,1,7.38,9.85,64,,52
AB168,1,0,1,1,5.74,7.575,69,,20
AB169,1,0,1,1,7.38,10.605,55,7.0015,12
AB170,1,0,1,1,6.56,9.09,55,7.0015,5
AB171,1,0,1,1,6.56,9.09,59,7.0015,2
AB172,1,0,1,1,5.74,7.575,63,,1
AB173,1,0,1,1,5.74,9.09,63,,2
AB174,1,0,1,1,4.92,7.575,68,7.0015,4
AB175,1,0,1,1,4.92,7.575,74,7.0015,36
AB176,1,0,1,1,4.92,7.575,74,,94
AB177,1,,1,1,5.74,7.575,69,,179
AB178,1,,1,1,6.56,7.575,64,15.0013,100
AB179,1,,1,2,6.56,6.82,69,22.0028,42
AB180,1,,1,1,9.02,10.605,51,19.9995,57
AB181,1,,1,1,9.02,11.365,51,,78
AB182,1,,1,1,9.84,11.365,56,12.998,97
AB183,1,0,1,1,10.66,12.88,52,15.0013,63
AB184,1,,1,1,11.48,13.635,52,16.9979,65
AB185,1,0,1,1,12.3,14.395,49,16.9979,83
AB186,1,0,1,1,11.48,13.635,48,15.0013,212
AB187,1,,1,1,10.66,12.88,48,12.998,182
AB188,1,0,1,1,9.84,12.88,48,7.0015,112
AB189,1,0,1,1,9.84,12.88,48,7.0015,54
AB190,1,,1,1,9.02,13.635,64,,48
AB191,1,0,1,1,9.02,12.88,64,,35
AB192,1,0,1,1,8.2,11.365,69,,11
AB193,1,0,1,1,8.2,12.88,64,,6
AB194,1,0,1,1,6.56,9.85,74,,6
